stage,Epithelial,Erythroid,Germ,Immune,Neuron,Other,Secretory,Stromal
21Day,0,1.34,0,0,1.34,0,1.34,0
3Month,0.96,0,0.32,0.32,0.64,0,0,0
22Month,6.56,0,0,1.09,0,1.09,0,0.55
