stage,Epithelial,Erythroid,Immune,Neuron,Other
24hpf,12.26,0,0,0,0
72hpf,22.47,0,0,1.07,0
21Day,28.11,0,0,0,0
3Month,2.88,0.32,0.64,0,0
22Month,11.48,0,3.28,0,0.55
