stage,Epithelial,Erythroid,Germ,Neuron,Stromal
24hpf,20.43,0,0,8.17,0
72hpf,2.14,0,0,19.26,19.26
21Day,2.68,1.34,1.34,17.4,8.03
3Month,0.96,0,0.96,0,0
