stage,Epithelial,Erythroid,Germ,Muscle,Neuron,Stromal
24hpf,8.17,0,0,0,24.52,4.09
72hpf,3.21,2.14,0,0,16.05,6.42
21Day,4.02,0,0,0,1.34,2.68
3Month,0.96,0,9.92,0.32,0,0
