stage,Endothelial,Epithelial,Germ,Immune,Other,Secretory,Stromal
72hpf,0,0,0,0,0,2.14,0
21Day,0,0,0,0,0,1.34,0
3Month,0,3.84,6.4,0.32,0,18.56,0.32
22Month,0.55,4.92,0,1.64,0.55,84.73,1.09
