stage,Epithelial,Erythroid,Germ,Immune,Muscle,Other,Secretory,Stromal
3Month,4.8,0,0.32,0.32,0.32,0,0,0.32
22Month,31.16,0.55,1.64,2.19,0.55,0.55,0.55,1.64
