stage,Epithelial,Erythroid,Muscle,Neuron,Secretory
24hpf,4.09,0,0,4.09,0
72hpf,1.07,2.14,2.14,22.47,5.35
21Day,1.34,0,1.34,21.42,1.34
3Month,0.96,0,0,0,0
22Month,0,0,0,1.64,0
