stage,Endothelial,Epithelial,Neuron,Other,Secretory
72hpf,0,1.07,0,0,0
21Day,0,4.02,0,0,0
3Month,0,1.6,0,0,0
22Month,1.09,23.51,0.55,0.55,1.09
