stage,Epithelial,Germ,Immune,Muscle,Neuron,Secretory,Stromal
24hpf,0,0,0,0,20.43,0,4.09
72hpf,0,0,0,2.14,21.4,2.14,3.21
21Day,6.69,1.34,0,1.34,10.71,0,0
3Month,4.48,6.08,1.28,0.32,0.64,0.32,1.92
22Month,5.47,0,1.64,0,1.09,0,0.55
