stage,Endothelial,Epithelial,Immune,Muscle,Neuron,Secretory,Stromal
24hpf,0,4.09,0,0,16.35,0,0
72hpf,0,5.35,0,0,5.35,1.07,1.07
21Day,0,9.37,0,1.34,6.69,1.34,0
3Month,0,3.84,0.32,0,0,0,0.64
22Month,0.55,3.28,0,0,0,0,0
