stage,Endothelial,Epithelial,Germ,Neuron,Stromal
24hpf,0,4.09,0,4.09,0
72hpf,0,2.14,0,0,0
21Day,0,1.34,1.34,4.02,1.34
3Month,0.64,1.6,3.52,0.32,1.28
22Month,0,2.73,1.09,0,0
