stage,Epithelial,Germ,Immune,Muscle,Other,Secretory,Stromal
72hpf,17.12,0,0,0,0,0,0
21Day,6.69,0,0,1.34,0,0,0
3Month,42.87,0.64,2.88,4.16,0,0,0.32
22Month,27.88,0.55,0.55,0.55,0.55,1.09,0
