stage,Epithelial,Muscle,Neuron,Secretory,Stromal
24hpf,8.17,0,69.47,0,4.09
72hpf,8.56,1.07,34.23,0,1.07
21Day,2.68,0,14.72,1.34,0
3Month,1.28,0,0,0,0
22Month,1.64,0,0,0,0
