stage,Endothelial,Epithelial,Germ,Neuron,Secretory,Stromal
72hpf,0,1.07,0,9.63,0,0
21Day,0,0,1.34,10.71,0,1.34
3Month,0.32,1.6,22.08,0.64,0.32,0.32
22Month,0,2.19,4.37,0,0,0
