stage,Endothelial,Epithelial,Germ,Immune,Muscle,Neuron,Secretory,Stromal
24hpf,0,0,0,0,4.09,12.26,0,0
72hpf,0,2.14,0,0,1.07,21.4,0,1.07
21Day,0,4.02,0,0,2.68,20.08,0,0
3Month,0.32,7.68,0.96,1.6,0.64,31.36,0.32,0.32
22Month,0,4.92,0,1.64,0,14.76,0,0
