stage,Epithelial,Immune,Muscle,Neuron,Other,Stromal
24hpf,0,0,0,4.09,0,16.35
72hpf,0,0,0,4.28,0,1.07
21Day,0,0,0,1.34,0,0
3Month,1.28,1.6,0,0,0,0
22Month,5.47,1.64,0.55,0,0.55,0
