stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Other,Secretory
72hpf,0,0,7.49,0,0,0,0,0,0
21Day,0,2.68,14.72,0,0,0,0,0,1.34
3Month,0.32,8.32,1.6,0.32,1.28,0.64,0,0,1.92
22Month,1.09,32.8,0,0.55,0.55,0.55,0.55,0.55,2.73
