stage,Epithelial,Erythroid,Muscle,Other,Stromal
24hpf,0,0,0,0,4.09
72hpf,2.14,0,1.07,0,3.21
21Day,0,0,0,0,2.68
3Month,0.64,0,0,0,0.32
22Month,3.28,0.55,0,0.55,0
