stage,Epithelial,Germ,Immune,Muscle,Neuron
72hpf,1.07,0,0,0,0
21Day,2.68,0,1.34,0,1.34
3Month,0.32,0.32,0,0,0
22Month,9.29,0,2.73,0.55,0.55
