stage,Epithelial,Immune,Neuron,Secretory,Stromal
72hpf,1.07,0,12.84,0,1.07
21Day,1.34,0,4.02,0,0
3Month,0.32,0,0,0,0
22Month,7.65,1.64,1.09,0.55,0.55
