stage,Endothelial,Epithelial,Immune,Neuron,Other,Secretory
24hpf,0,0,0,4.09,0,49.04
72hpf,0,1.07,0,2.14,0,0
21Day,0,2.68,0,2.68,0,1.34
3Month,1.92,2.56,1.28,0,0,0.32
22Month,0,0.55,0,0,0.55,0
