stage,Epithelial,Erythroid,Germ,Muscle,Neuron,Other,Stromal
24hpf,8.17,0,0,0,24.52,4.09,4.09
72hpf,2.14,1.07,0,0,14.98,0,1.07
21Day,1.34,0,1.34,1.34,8.03,0,1.34
