stage,Endothelial,Epithelial,Germ,Immune,Stromal
24hpf,0,0,0,4.09,0
72hpf,0,2.14,0,0,0
3Month,4.16,21.76,0.64,0.32,2.24
22Month,0,4.92,0,0.55,1.09
