stage,Epithelial,Erythroid,Germ,Neuron,Secretory,Stromal
24hpf,0,0,0,20.43,0,0
72hpf,1.07,1.07,0,65.26,0,3.21
21Day,0,0,0,42.83,1.34,1.34
3Month,0.32,0,0.32,0,0.32,0
