stage,Endothelial,Epithelial,Germ,Immune,Muscle,Neuron,Other,Secretory,Stromal
24hpf,40.86,12.26,0,4.09,0,40.86,0,0,0
72hpf,14.98,0,1.07,0,1.07,10.7,0,0,4.28
21Day,13.39,0,1.34,0,0,4.02,0,0,1.34
3Month,7.36,6.72,7.04,1.28,0.96,0.96,0,0,0.96
22Month,23.51,28.43,14.21,5.47,2.73,2.19,1.09,0.55,6.01
