stage,Epithelial,Erythroid,Immune,Stromal
24hpf,4.09,0,0,0
72hpf,2.14,2.14,0,0
21Day,6.69,0,0,0
3Month,3.52,0,0.32,0
22Month,0,0,0,1.09
