stage,Epithelial,Erythroid,Germ,Neuron,Secretory,Stromal
72hpf,2.14,0,0,0,0,1.07
21Day,14.72,0,0,1.34,0,0
3Month,13.44,0.32,0.32,0.32,0.32,0.32
