stage,Epithelial,Erythroid,Germ,Immune,Neuron,Secretory
24hpf,0,0,0,0,4.09,0
72hpf,0,0,0,0,22.47,0
21Day,1.34,1.34,0,1.34,18.74,2.68
3Month,1.28,0,0,0,0,0
22Month,2.19,0,1.09,0,0,0
