stage,Endothelial,Epithelial,Immune,Neuron,Other,Secretory,Stromal
24hpf,0,4.09,0,0,0,0,0
72hpf,0,7.49,0,3.21,0,0,0
21Day,1.34,42.83,1.34,8.03,0,2.68,2.68
3Month,0,1.92,0,0,0,0,0
22Month,0.55,3.28,0.55,0,0.55,0,0
