stage,Epithelial,Erythroid,Germ,Muscle,Neuron
24hpf,0,0,0,0,12.26
72hpf,0,1.07,0,3.21,2.14
21Day,1.34,0,0,2.68,1.34
3Month,0.32,0,0.96,0,0
22Month,1.09,0,2.19,0,0
