stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Secretory
24hpf,0,0,0,0,0,0,4.09,0
72hpf,0,0,7.49,0,0,0,0,0
21Day,0,1.34,0,0,21.42,0,1.34,0
3Month,0.64,1.6,0.32,0.64,19.2,0.32,0.64,0.32
22Month,1.64,10.39,1.64,0.55,8.75,0,0,0
