stage,Epithelial,Erythroid,Germ,Muscle,Neuron
72hpf,0,0,0,0,11.77
21Day,1.34,0,0,0,0
3Month,0.64,0.32,0.64,0,0.64
22Month,1.64,0,0,0.55,0
