stage,Endothelial,Epithelial,Erythroid,Immune,Muscle,Neuron,Stromal
24hpf,0,0,0,0,0,8.17,0
72hpf,0,3.21,1.07,0,1.07,166.89,4.28
21Day,1.34,5.35,2.68,1.34,1.34,77.63,1.34
22Month,0,1.09,0,0,0,0,0
