stage,Endothelial,Epithelial,Germ,Immune,Secretory,Stromal
72hpf,0,1.07,0,0,0,0
21Day,0,1.34,0,1.34,0,0
3Month,0.32,87.99,0.32,1.28,0.64,0.96
