stage,Epithelial,Erythroid,Immune,Muscle,Neuron,Secretory,Stromal
24hpf,0,0,0,0,8.17,0,4.09
72hpf,0,0,0,0,10.7,0,1.07
21Day,2.68,0,2.68,0,29.45,4.02,1.34
3Month,3.2,0,0,0,0,0,0.32
22Month,3.83,0.55,1.09,0.55,0,0,0.55
