stage,Epithelial,Erythroid,Immune,Muscle,Neuron,Other,Secretory
24hpf,8.17,0,0,0,4.09,0,0
72hpf,4.28,0,12.84,0,1.07,0,0
21Day,12.05,1.34,44.17,1.34,0,0,0
3Month,21.44,0,2.56,0,0,0,0
22Month,33.89,0,139.4,0,0,0.55,0.55
