stage,Endothelial,Epithelial,Erythroid,Germ,Neuron
24hpf,4.09,0,0,0,12.26
72hpf,0,1.07,0,0,1.07
21Day,0,0,1.34,0,0
3Month,0,0.32,0,3.2,0
