stage,Endothelial,Epithelial,Erythroid,Immune,Neuron,Stromal
24hpf,0,4.09,4.09,12.26,16.35,4.09
72hpf,2.14,0,0,0,4.28,1.07
21Day,0,2.68,0,0,0,0
