stage,Epithelial,Immune,Neuron,Other,Stromal
24hpf,0,0,4.09,0,0
72hpf,0,0,5.35,0,2.14
21Day,0,0,4.02,0,0
22Month,1.09,0.55,1.09,0.55,0
