stage,Endothelial,Epithelial,Germ,Immune,Neuron,Other
24hpf,0,0,0,0,4.09,0
72hpf,0,1.07,0,0,1.07,0
3Month,0.32,4.48,0.32,0.32,0.32,0
22Month,0,15.85,0,3.28,0.55,2.73
