stage,Endothelial,Epithelial,Germ,Immune,Neuron,Other,Secretory,Stromal
24hpf,0,24.52,0,0,8.17,175.72,0,4.09
72hpf,1.07,4.28,0,0,4.28,0,0,0
21Day,0,1.34,0,0,0,0,0,8.03
3Month,2.24,15.04,0.96,8.32,0.64,0,3.2,28.8
22Month,2.73,13.67,0,14.76,1.64,1.09,49.75,9.84
