stage,Endothelial,Epithelial,Erythroid,Muscle,Neuron,Stromal
72hpf,0,2.14,0,0,9.63,3.21
21Day,0,2.68,2.68,4.02,6.69,9.37
22Month,1.64,1.09,0,0.55,0.55,0
