stage,Endothelial,Epithelial,Erythroid,Immune,Neuron,Other,Stromal
24hpf,0,0,0,0,4.09,0,4.09
72hpf,0,1.07,0,0,2.14,0,0
21Day,0,1.34,0,0,1.34,0,0
3Month,0,2.88,0.32,1.28,0,0,0
22Month,0.55,24.6,0,1.64,0,1.64,1.09
