stage,Epithelial,Immune,Muscle,Neuron,Other
24hpf,0,0,0,4.09,0
72hpf,0,0,0,8.56,0
21Day,0,0,0,5.35,0
3Month,0.32,0.32,0.32,0,0
22Month,3.28,1.09,0,0.55,0.55
