stage,Epithelial,Erythroid,Germ,Immune,Neuron,Secretory
24hpf,0,0,0,4.09,0,0
72hpf,1.07,0,0,0,1.07,1.07
21Day,1.34,0,0,0,1.34,0
3Month,0.96,0,0,4.8,0,0
22Month,1.09,1.09,0.55,4.92,0,0
