stage,Epithelial,Erythroid,Germ,Neuron,Other
72hpf,0,0,0,28.88,0
21Day,1.34,1.34,0,25.43,0
3Month,0.32,0,0.32,0,0
22Month,2.73,0,0,0,0.55
