stage,Epithelial,Germ,Immune,Neuron,Secretory,Stromal
24hpf,4.09,0,0,12.26,0,0
72hpf,0,0,0,2.14,0,1.07
21Day,2.68,0,0,0,0,0
3Month,2.88,35.19,0.64,0.32,0.32,0
22Month,1.09,1.09,0,0,0,0
