stage,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Other,Stromal
24hpf,0,0,0,0,0,20.43,0,0
72hpf,3.21,2.14,0,0,1.07,154.05,0,1.07
21Day,2.68,4.02,0,0,1.34,88.34,1.34,4.02
3Month,2.24,0.32,0.32,0.32,0,0.32,0,0
22Month,9.84,0,0,1.09,1.09,0,0,0.55
