stage,Epithelial,Germ,Muscle,Neuron,Secretory,Stromal
24hpf,0,0,0,4.09,0,0
72hpf,0,0,0,4.28,0,2.14
21Day,2.68,0,1.34,1.34,0,1.34
3Month,0.32,0.96,0,0,0.32,0.32
