stage,Endothelial,Epithelial,Germ,Immune,Neuron,Secretory,Stromal
24hpf,0,0,0,8.17,0,0,0
72hpf,0,3.21,0,0,4.28,0,0
21Day,1.34,1.34,1.34,1.34,0,0,0
3Month,0,3.52,1.92,11.52,0.32,0.32,0.96
22Month,0.55,2.73,56.85,12.57,1.09,1.09,0.55
