stage,Epithelial,Germ,Immune,Muscle,Neuron,Stromal
72hpf,2.14,0,0,0,0,0
21Day,5.35,0,1.34,1.34,2.68,2.68
3Month,0.64,0.96,0.32,0,0,0.64
