stage,Endothelial,Epithelial,Immune,Neuron,Other
72hpf,0,0,0,3.21,0
21Day,0,1.34,0,5.35,0
3Month,0,0.32,0.32,0.32,0
22Month,0.55,4.37,0.55,0,0.55
