stage,Endothelial,Epithelial,Germ,Immune,Muscle,Neuron,Other,Secretory
72hpf,0,2.14,0,0,0,2.14,0,0
21Day,0,13.39,0,1.34,0,0,0,0
3Month,0.32,66.87,1.28,1.28,1.28,0,0,0.32
22Month,0.55,75.44,0.55,2.19,0,0.55,1.64,0
