stage,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Secretory
24hpf,0,0,0,0,0,4.09,0
72hpf,8.56,1.07,0,2.14,0,4.28,1.07
21Day,6.69,1.34,0,2.68,2.68,5.35,0
3Month,0.96,0,1.6,0,0,0,0
