stage,Endothelial,Epithelial,Muscle,Neuron,Secretory,Stromal
24hpf,0,0,0,8.17,0,4.09
72hpf,0,1.07,1.07,7.49,1.07,21.4
21Day,1.34,0,4.02,5.35,0,9.37
3Month,0,0.32,0,0,0,0.64
