stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Other,Stromal
72hpf,0,1.07,0,0,0,0,0,0
21Day,1.34,4.02,1.34,0,1.34,0,0,5.35
3Month,0,3.52,0.32,0.32,0.96,0.32,0,0
22Month,0,14.76,0,0,3.83,0.55,0.55,1.09
