stage,Epithelial,Immune,Muscle,Neuron,Secretory
72hpf,0,0,1.07,1.07,0
21Day,6.69,1.34,0,0,0
3Month,0.64,0.32,0,0,0
22Month,0.55,0,0,0,0.55
