stage,Epithelial,Germ,Muscle,Neuron,Secretory,Stromal
24hpf,20.43,0,0,12.26,0,36.78
72hpf,19.26,0,0,5.35,1.07,2.14
21Day,4.02,1.34,8.03,6.69,0,2.68
3Month,0,1.28,0,0,0,0
22Month,2.73,1.09,0,0.55,0,0.55
