stage,Epithelial,Erythroid,Germ,Neuron,Other,Stromal
24hpf,4.09,0,0,4.09,0,0
72hpf,0,0,0,0,0,1.07
21Day,6.69,1.34,0,0,0,2.68
3Month,0.64,0,0.64,0,0,0
22Month,3.28,0,0,0,0.55,0
