stage,Epithelial,Erythroid,Germ,Immune,Neuron,Secretory,Stromal
21Day,1.34,4.02,0,41.49,4.02,1.34,2.68
3Month,5.12,0.64,0.96,39.35,0,0.32,1.28
22Month,4.92,0,0,15.31,0,1.09,1.64
