stage,Epithelial,Erythroid,Germ,Neuron,Other,Stromal
72hpf,1.07,0,0,21.4,0,0
21Day,0,4.02,0,13.39,0,1.34
3Month,0.96,0,1.92,0,0,1.28
22Month,2.19,0,0.55,0,0.55,0.55
