stage,Epithelial,Germ,Neuron,Secretory,Stromal
24hpf,0,0,12.26,0,4.09
72hpf,0,0,1.07,0,0
21Day,0,0,0,1.34,0
3Month,1.28,4.48,0,0,0.32
22Month,0.55,1.64,0,0,0
