stage,Epithelial,Germ,Immune,Neuron,Other,Secretory
24hpf,8.17,0,0,0,0,0
72hpf,0,0,0,1.07,0,0
21Day,0,0,0,5.35,0,0
3Month,1.28,0.32,0.32,0,0,0.32
22Month,2.19,1.09,0,0,0.55,0
