stage,Endothelial,Epithelial,Erythroid,Immune,Muscle,Neuron,Other,Secretory,Stromal
24hpf,0,4.09,0,16.35,0,4.09,0,0,0
72hpf,0,6.42,0,11.77,2.14,34.23,0,1.07,73.82
21Day,0,61.57,2.68,9.37,9.37,13.39,0,4.02,125.82
3Month,0.96,8,0,11.52,0.64,0,0,0,26.88
22Month,3.83,25.15,0.55,66.15,1.64,0.55,10.39,0.55,101.13
